stopwatchname,lap,seconds,formattedtime,status
Revisión,Vuelta 0,122.7247801,122.72478,finished
Revisión,Vuelta 2,103.9614409,103.961441,finished
Revisión,Vuelta 3,5.349848986,5.349849,finished
Revisión,Vuelta 4,0.266644001,0.266644,finished
Revisión,Vuelta 5,0.350004911,0.350005,finished
Revisión,Vuelta 6,95.36173904,95.361739,finished
Revisión,Vuelta 7,167.824898,167.824898,finished
Revisión,Vuelta 8,86.09574807,86.095748,finished
Revisión,Vuelta 9,106.861329,106.861329,finished
Revisión,Vuelta 10,127.643839,127.643839,finished
Revisión,Vuelta 11,5.349758983,5.349759,finished
Revisión,Vuelta 12,7.466260076,7.46626,finished
Revisión,Vuelta 13,6.183051944,6.183052,finished
Revisión,Vuelta 14,3.066420078,3.06642,finished
Revisión,Vuelta 15,10.54973495,10.549735,finished
Revisión,Vuelta 16,38.08144605,38.081446,finished
Revisión,Vuelta 17,10.182814,10.182814,finished
Revisión,Vuelta 18,5.233065963,5.233066,finished
Revisión,Vuelta 19,4.566532016,4.566532,finished
Revisión,Vuelta 20,3.633050919,3.633051,finished
Revisión,Vuelta 21,3.399893045,3.399893,finished
Revisión,Vuelta 22,4.649657965,4.649658,finished
Revisión,Vuelta 23,16.38236809,16.382368,finished
Revisión,total,935.1843261,935.184326,stopped
Ticket con comida,Vuelta 0,1.047891021,1.047891,finished
Ticket con comida,Vuelta 2,166.441817,166.441817,finished
Ticket con comida,Vuelta 3,4.199653983,4.199654,finished
Ticket con comida,Vuelta 4,33.03171194,33.031712,finished
Ticket con comida,Vuelta 5,36.581568,36.581568,finished
Ticket con comida,Vuelta 6,231.655082,231.655082,finished
Ticket con comida,Vuelta 7,0.416575074,0.416575,finished
Ticket con comida,Vuelta 8,60.63048995,60.63049,finished
Ticket con comida,Vuelta 9,1.233195066,1.233195,finished
Ticket con comida,Vuelta 10,39.59801102,39.598011,finished
Ticket con comida,Vuelta 11,6.166384935,6.166385,finished
Ticket con comida,Vuelta 12,28.99851203,28.998512,finished
Ticket con comida,Vuelta 13,64.53020597,64.530206,finished
Ticket con comida,Vuelta 14,136.409737,136.409737,finished
Ticket con comida,Vuelta 15,124.39388,124.39388,finished
Ticket con comida,Vuelta 16,28.08185399,28.081854,finished
Ticket con comida,Vuelta 17,0.583404064,0.583404,finished
Ticket con comida,Vuelta 18,39.83124197,39.831242,finished
Ticket con comida,Vuelta 19,5.783202052,5.783202,finished
Ticket con comida,Vuelta 20,42.5144639,42.514464,finished
Ticket con comida,Vuelta 21,8.682884097,8.682884,finished
Ticket con comida,Vuelta 22,32.2317239,32.231724,finished
Ticket con comida,Vuelta 23,14.58260107,14.582601,finished
Ticket con comida,Vuelta 24,25.44869697,25.448697,finished
Ticket con comida,Vuelta 25,1.08337605,1.083376,finished
Ticket con comida,Vuelta 26,84.41248393,84.412484,finished
Ticket con comida,Vuelta 27,8.282819986,8.28282,finished
Ticket con comida,Vuelta 28,47.39768708,47.397687,finished
Ticket con comida,Vuelta 29,100.6948819,100.694882,finished
Ticket con comida,Vuelta 30,70.71323109,70.713231,finished
Ticket con comida,Vuelta 31,11.73260701,11.732607,finished
Ticket con comida,Vuelta 32,87.9790889,87.979089,finished
Ticket con comida,Vuelta 33,0.483327031,0.483327,finished
Ticket con comida,Vuelta 34,11.58261704,11.582617,finished
Ticket con comida,Vuelta 35,37.84815502,37.848155,finished
Ticket con comida,Vuelta 36,12.41600394,12.416004,finished
Ticket con comida,Vuelta 37,58.69711995,58.69712,finished
Ticket con comida,Vuelta 38,38.48172808,38.481728,finished
Ticket con comida,Vuelta 39,48.14764094,48.147641,finished
Ticket con comida,Vuelta 40,95.26165307,95.261653,finished
Ticket con comida,Vuelta 41,47.08120596,47.081206,finished
Ticket con comida,Vuelta 42,102.4447401,102.44474,finished
Ticket con comida,Vuelta 43,131.3268269,131.326827,finished
Ticket con comida,Vuelta 44,66.23018003,66.23018,finished
Ticket con comida,Vuelta 45,44.14767003,44.14767,finished
Ticket con comida,Vuelta 46,29.33184195,29.331842,finished
Ticket con comida,Vuelta 47,32.63167799,32.631678,finished
Ticket con comida,Vuelta 48,31.93207002,31.93207,finished
Ticket con comida,Vuelta 49,16.84936404,16.849364,finished
Ticket con comida,Vuelta 50,31.36477292,31.364773,finished
Ticket con comida,Vuelta 51,95.56196404,95.561964,finished
Ticket con comida,Vuelta 52,6.649697065,6.649697,finished
Ticket con comida,Vuelta 53,174.708107,174.708107,finished
Ticket con comida,Vuelta 54,33.23160899,33.231609,finished
Ticket con comida,Vuelta 55,57.79684699,57.796847,finished
Ticket con comida,Vuelta 56,69.21348596,69.213486,finished
Ticket con comida,Vuelta 57,253.7042221,253.704222,finished
Ticket con comida,Vuelta 58,11.216205,11.216205,finished
Ticket con comida,Vuelta 59,79.362486,79.362486,finished
Ticket con comida,Vuelta 60,14.46591294,14.465913,finished
Ticket con comida,Vuelta 61,32.48181498,32.481815,finished
Ticket con comida,Vuelta 62,54.21402907,54.214029,finished
Ticket con comida,Vuelta 63,42.78111696,42.781117,finished
Ticket con comida,Vuelta 64,46.36430693,46.364307,finished
Ticket con comida,Vuelta 65,86.81256008,86.81256,finished
Ticket con comida,Vuelta 66,53.53045893,53.530459,finished
Ticket con comida,Vuelta 67,19.18275201,19.182752,finished
Ticket con comida,Vuelta 68,55.09707403,55.097074,finished
Ticket con comida,Vuelta 69,46.23101604,46.231016,finished
Ticket con comida,Vuelta 70,71.46312392,71.463124,finished
Ticket con comida,Vuelta 71,47.79766905,47.797669,finished
Ticket con comida,Vuelta 72,19.39899695,19.398997,finished
Ticket con comida,Vuelta 73,5.849888086,5.849888,finished
Ticket con comida,Vuelta 74,48.49737692,48.497377,finished
Ticket con comida,Vuelta 75,55.08059299,55.080593,finished
Ticket con comida,Vuelta 76,18.24935007,18.24935,finished
Ticket con comida,Vuelta 77,33.91501904,33.915019,finished
Ticket con comida,Vuelta 78,43.93087399,43.930874,finished
Ticket con comida,Vuelta 79,61.1136539,61.113654,finished
Ticket con comida,Vuelta 80,24.98215902,24.982159,finished
Ticket con comida,Vuelta 81,101.811864,101.811864,finished
Ticket con comida,Vuelta 82,199.806837,199.806837,finished
Ticket con comida,Vuelta 83,4.216421008,4.216421,finished
Ticket con comida,Vuelta 84,62.09694207,62.096942,finished
Ticket con comida,Vuelta 85,9.166047931,9.166048,finished
Ticket con comida,Vuelta 86,76.96282101,76.962821,finished
Ticket con comida,Vuelta 87,114.644482,114.644482,finished
Ticket con comida,Vuelta 88,105.261507,105.261507,finished
Ticket con comida,Vuelta 89,46.01450503,46.014505,finished
Ticket con comida,Vuelta 90,59.69709492,59.697095,finished
Ticket con comida,Vuelta 91,12.58255005,12.58255,finished
Ticket con comida,Vuelta 92,134.6770329,134.677033,finished
Ticket con comida,Vuelta 93,0.449759007,0.449759,finished
Ticket con comida,Vuelta 94,57.64729702,57.647297,finished
Ticket con comida,Vuelta 95,23.832008,23.832008,finished
Ticket con comida,Vuelta 96,56.11425805,56.114258,finished
Ticket con comida,Vuelta 97,5.482887983,5.482888,finished
Ticket con comida,Vuelta 98,277.103056,277.103056,finished
Ticket con comida,Vuelta 99,95.49543798,95.495438,finished
Ticket con comida,Vuelta 100,16.73240304,16.732403,finished
Ticket con comida,Vuelta 101,46.91458404,46.914584,finished
Ticket con comida,Vuelta 102,58.59726298,58.597263,finished
Ticket con comida,Vuelta 103,87.99537003,87.99537,finished
Ticket con comida,Vuelta 104,29.36537397,29.365374,finished
Ticket con comida,Vuelta 105,46.63095903,46.630959,finished
Ticket con comida,Vuelta 106,9.466239929,9.46624,finished
Ticket con comida,Vuelta 107,26.08175707,26.081757,finished
Ticket con comida,total,5809.360686,"5,809.36",stopped
Ticket sin COMIDA,Vuelta 0,361.498917,361.498917,finished
Ticket sin COMIDA,Vuelta 2,174.674457,174.674457,finished
Ticket sin COMIDA,Vuelta 3,117.977252,117.977252,finished
Ticket sin COMIDA,Vuelta 4,315.0843251,315.084325,finished
Ticket sin COMIDA,Vuelta 5,0.416644931,0.416645,finished
Ticket sin COMIDA,Vuelta 6,1.066725016,1.066725,finished
Ticket sin COMIDA,Vuelta 7,8.866150975,8.866151,finished
Ticket sin COMIDA,Vuelta 8,123.643775,123.643775,finished
Ticket sin COMIDA,Vuelta 9,0.983323097,0.983323,finished
Ticket sin COMIDA,Vuelta 10,0.349983931,0.349984,finished
Ticket sin COMIDA,Vuelta 11,122.16046,122.16046,finished
Ticket sin COMIDA,Vuelta 12,130.1769251,130.176925,finished
