stopwatchname,lap,seconds,formattedtime,status
"Revisión",Vuelta 1,5.31530499458313,"5.315305",finished
"Revisión",Vuelta 2,5.86345100402832,"5.863451",finished
"Revisión",Vuelta 3,5.066779971122742,"5.06678",finished
"Revisión",Vuelta 4,20.230412006378174,"20.230412",finished
"Revisión",Vuelta 5,11.949465990066528,"11.949466",finished
"Revisión",Vuelta 6,15.616276979446411,"15.616277",finished
"Revisión",Vuelta 7,2.6167099475860596,"2.61671",finished
"Revisión",Vuelta 8,10.71628201007843,"10.716282",finished
"Revisión",Vuelta 9,3.5835020542144775,"3.583502",finished
"Revisión",Vuelta 10,8.616358995437622,"8.616359",finished
"Revisión",Vuelta 11,3.4664390087127686,"3.466439",finished
"Revisión",Vuelta 12,8.449674010276794,"8.449674",finished
"Revisión",Vuelta 13,1.9832029342651367,"1.983203",finished
"Revisión",Vuelta 14,7.149729132652283,"7.149729",finished
"Revisión",Vuelta 15,12.766330003738403,"12.76633",finished
"Revisión",Vuelta 16,7.549804925918579,"7.549805",finished
"Revisión",Vuelta 17,3.4998109340667725,"3.499811",finished
"Revisión",Vuelta 18,4.982879042625427,"4.982879",finished
"Revisión",Vuelta 19,9.832726955413818,"9.832727",finished
"Revisión",Vuelta 20,9.349622011184692,"9.349622",finished
"Revisión",Vuelta 21,2.366713047027588,"2.366713",finished
"Revisión",Vuelta 22,5.299708962440491,"5.299709",finished
"Revisión",Vuelta 23,41.682027101516724,"41.682027",finished
"Revisión",Vuelta 24,5.049723982810974,"5.049724",finished
"Revisión",Vuelta 25,39.031854033470154,"39.031854",finished
"Revisión",Vuelta 26,8.76636791229248,"8.766368",finished
"Revisión",Vuelta 27,9.182754039764404,"9.182754",finished
"Revisión",Vuelta 28,9.383085012435913,"9.383085",finished
"Revisión",Vuelta 29,12.66610598564148,"12.666106",finished
"Revisión",Vuelta 30,15.632876992225647,"15.632877",finished
"Revisión",Vuelta 31,9.399472951889038,"9.399473",finished
"Revisión",Vuelta 32,9.032881021499634,"9.032881",finished
"Revisión",Vuelta 33,18.966068983078003,"18.966069",finished
"Revisión",Vuelta 34,33.68201696872711,"33.682017",finished
"Revisión",Vuelta 35,5.299954056739807,"5.299954",finished
"Revisión",Vuelta 36,37.63178086280823,"37.631781",finished
"Revisión",Vuelta 37,7.033177018165588,"7.033177",finished
"Revisión",Vuelta 38,17.482710003852844,"17.48271",finished
"Revisión",Vuelta 39,21.099246978759766,"21.099247",finished
"Revisión",Vuelta 40,19.399355053901672,"19.399355",finished
"Revisión",Vuelta 41,3.1497700214385986,"3.14977",finished
"Revisión",Vuelta 42,1.7666610479354858,"1.766661",finished
"Revisión",Vuelta 43,5.766358971595764,"5.766359",finished
"Revisión",Vuelta 44,23.082622051239014,"23.082622",finished
"Revisión",Vuelta 45,4.1497639417648315,"4.149764",finished
"Revisión",Vuelta 46,8.566398024559021,"8.566398",finished
