stopwatchname,lap,seconds,formattedtime,status
"Revisión",Vuelta 1,6.748907089233398,"6.748907",finished
"Revisión",Vuelta 2,2.0666779279708862,"2.066678",finished
"Revisión",Vuelta 3,7.916144013404846,"7.916144",finished
"Revisión",Vuelta 4,3.26650607585907,"3.266506",finished
"Revisión",Vuelta 5,5.233201026916504,"5.233201",finished
"Revisión",Vuelta 6,13.749390959739685,"13.749391",finished
"Revisión",Vuelta 7,4.349821925163269,"4.349822",finished
"Revisión",Vuelta 8,1.5166910886764526,"1.516691",finished
"Revisión",Vuelta 9,7.566275000572205,"7.566275",finished
"Revisión",Vuelta 10,4.716421961784363,"4.716422",finished
"Revisión",Vuelta 11,3.5999081134796143,"3.599908",finished
"Revisión",Vuelta 12,6.199638843536377,"6.199639",finished
"Revisión",Vuelta 13,7.3828980922698975,"7.382898",finished
"Revisión",Vuelta 14,6.649727940559387,"6.649728",finished
"Revisión",Vuelta 15,1.2497100830078125,"1.24971",finished
"Revisión",Vuelta 16,2.999981999397278,"2.999982",finished
"Revisión",Vuelta 17,8.416376948356628,"8.416377",finished
"Revisión",Vuelta 18,4.1996400356292725,"4.19964",finished
"Revisión",Vuelta 19,1.6999239921569824,"1.699924",finished
"Revisión",Vuelta 20,3.866410970687866,"3.866411",finished
"Revisión",Vuelta 21,6.733086943626404,"6.733087",finished
"Revisión",Vuelta 22,7.782806038856506,"7.782806",finished
"Revisión",Vuelta 23,6.949787974357605,"6.949788",finished
"Revisión",Vuelta 24,1.6497539281845093,"1.649754",finished
"Revisión",Vuelta 25,10.899477005004883,"10.899477",finished
"Revisión",Vuelta 26,1.033149003982544,"1.033149",finished
"Revisión",Vuelta 27,3.7665419578552246,"3.766542",finished
"Revisión",Vuelta 28,1.483314037322998,"1.483314",finished
"Revisión",Vuelta 29,6.2995829582214355,"6.299583",finished
"Revisión",Vuelta 30,6.9161601066589355,"6.91616",finished
"Revisión",Vuelta 31,7.6496418714523315,"7.649642",finished
"Revisión",Vuelta 32,5.549729943275452,"5.54973",finished
"Revisión",Vuelta 33,3.3664740324020386,"3.366474",finished
"Revisión",Vuelta 34,5.199882984161377,"5.199883",finished
"Revisión",Vuelta 35,6.416231989860535,"6.416232",finished
"Revisión",Vuelta 36,8.866331934928894,"8.866332",finished
"Revisión",Vuelta 37,13.266213059425354,"13.266213",finished
"Revisión",Vuelta 38,1.8832679986953735,"1.883268",finished
"Revisión",Vuelta 39,4.016384124755859,"4.016384",finished
"Revisión",Vuelta 40,7.316150903701782,"7.316151",finished
"Revisión",Vuelta 41,6.816398024559021,"6.816398",finished
"Revisión",Vuelta 42,12.699217081069946,"12.699217",finished
"Revisión",Vuelta 43,5.632860064506531,"5.63286",finished
"Revisión",Vuelta 44,7.983084082603455,"7.983084",finished
"Revisión",Vuelta 45,6.882952928543091,"6.882953",finished
"Revisión",Vuelta 46,11.866051077842712,"11.866051",finished
"Revisión",Vuelta 47,3.550039052963257,"3.550039",finished
"Revisión",Vuelta 48,17.082353949546814,"17.082354",finished
"Revisión",Vuelta 49,3.8329399824142456,"3.83294",finished
"Revisión",Vuelta 50,9.58284306526184,"9.582843",finished
"Revisión",Vuelta 51,7.299362063407898,"7.299362",finished
"Revisión",Vuelta 52,14.432643055915833,"14.432643",finished
"Revisión",Vuelta 53,17.182496070861816,"17.182496",finished
"Revisión",Vuelta 54,3.8664870262145996,"3.866487",finished
"Revisión",Vuelta 55,2.5494168996810913,"2.549417",finished
"Revisión",Vuelta 56,4.18331503868103,"4.183315",finished
"Revisión",Vuelta 57,7.332930088043213,"7.33293",finished
"Revisión",Vuelta 58,2.933130979537964,"2.933131",finished
"Revisión",Vuelta 59,8.782573938369751,"8.782574",finished
"Revisión",Vuelta 60,11.799638032913208,"11.799638",finished
"Revisión",Vuelta 61,10.166154026985168,"10.166154",finished
"Revisión",Vuelta 62,14.665951013565063,"14.665951",finished
"Revisión",Vuelta 63,9.749440908432007,"9.749441",finished
"Revisión",Vuelta 64,20.54900896549225,"20.549009",finished
"Revisión",Vuelta 65,10.916084051132202,"10.916084",finished
"Revisión",Vuelta 66,4.966416954994202,"4.966417",finished
"Revisión",Vuelta 67,4.199970960617065,"4.199971",finished
"Revisión",Vuelta 68,6.799720048904419,"6.79972",finished
"Revisión",Vuelta 69,8.199717998504639,"8.199718",finished
"Revisión",Vuelta 70,10.29962706565857,"10.299627",finished
"Revisión",Vuelta 71,11.149178862571716,"11.149179",finished
"Revisión",Vuelta 72,1.3998430967330933,"1.399843",finished
"Revisión",Vuelta 73,6.066251039505005,"6.066251",finished
"Revisión",Vuelta 74,4.116476893424988,"4.116477",finished
"Revisión",Vuelta 75,5.366284012794495,"5.366284",finished
"Revisión",Vuelta 76,3.483078122138977,"3.483078",finished
"Revisión",Vuelta 77,6.4163209199905396,"6.416321",finished
"Revisión",Vuelta 78,3.666477084159851,"3.666477",finished
"Revisión",Vuelta 79,5.199703931808472,"5.199704",finished
"Revisión",Vuelta 80,6.666007161140442,"6.666007",finished
"Revisión",Vuelta 81,7.549936056137085,"7.549936",finished
"Revisión",Vuelta 82,5.632959961891174,"5.63296",finished
"Revisión",Vuelta 83,15.565652966499329,"15.565653",finished
"Revisión",Vuelta 84,7.999695062637329,"7.999695",finished
"Revisión",Vuelta 85,5.599840879440308,"5.599841",finished
"Revisión",Vuelta 86,8.48275101184845,"8.482751",finished
"Revisión",Vuelta 87,9.699279069900513,"9.699279",finished
"Revisión",Vuelta 88,3.849800944328308,"3.849801",finished
"Revisión",Vuelta 89,6.71643602848053,"6.716436",finished
"Revisión",Vuelta 90,4.466471076011658,"4.466471",finished
"Revisión",Vuelta 91,4.96631395816803,"4.966314",finished
"Revisión",Vuelta 92,10.232885956764221,"10.232886",finished
"Revisión",Vuelta 93,5.033053994178772,"5.033054",finished
"Revisión",Vuelta 94,10.232924103736877,"10.232924",finished
"Revisión",Vuelta 95,9.032693982124329,"9.032694",finished
"Revisión",Vuelta 96,1.016413927078247,"1.016414",finished
"Revisión",Vuelta 97,7.516296982765198,"7.516297",finished
"Revisión",Vuelta 98,10.882850050926208,"10.88285",finished
"Revisión",Vuelta 99,10.482838988304138,"10.482839",finished
"Revisión",Vuelta 100,10.099395036697388,"10.099395",finished
"Revisión",Vuelta 101,14.549417972564697,"14.549418",finished
"Revisión",Vuelta 102,11.866155862808228,"11.866156",finished
"Revisión",Vuelta 103,5.68314802646637,"5.683148",finished
"Revisión",Vuelta 104,1.5332969427108765,"1.533297",finished
"Revisión",Vuelta 105,9.382680058479309,"9.38268",finished
"Revisión",Vuelta 106,1.0667229890823364,"1.066723",finished
"Revisión",Vuelta 107,11.332633018493652,"11.332633",finished
"Revisión",Vuelta 108,4.916489005088806,"4.916489",finished
"Revisión",Vuelta 109,8.999405026435852,"8.999405",finished
"Revisión",Vuelta 110,3.3330730199813843,"3.333073",finished
"Revisión",Vuelta 111,8.082993030548096,"8.082993",finished
"Revisión",Vuelta 112,27.432047963142395,"27.432048",finished
"Revisión",Vuelta 113,11.582759976387024,"11.58276",finished
"Revisión",Vuelta 114,9.665962934494019,"9.665963",finished
"Revisión",Vuelta 115,9.565707087516785,"9.565707",finished
"Revisión",Vuelta 116,20.74903893470764,"20.749039",finished
"Revisión",Vuelta 117,4.51648211479187,"4.516482",finished
"Revisión",Vuelta 118,14.749202966690063,"14.749203",finished
"Revisión",Vuelta 119,8.166319012641907,"8.166319",finished
"Revisión",Vuelta 120,6.899338126182556,"6.899338",finished
"Revisión",Vuelta 121,7.4662559032440186,"7.466256",finished
"Revisión",Vuelta 122,8.266284108161926,"8.266284",finished
"Revisión",Vuelta 123,24.61543893814087,"24.615439",finished
"Revisión",Vuelta 124,10.99948501586914,"10.999485",finished
"Revisión",Vuelta 125,14.36584210395813,"14.365842",finished
"Revisión",Vuelta 126,6.282791972160339,"6.282792",finished
"Revisión",Vuelta 127,4.666473031044006,"4.666473",finished
"Revisión",Vuelta 128,7.783178925514221,"7.783179",finished
"Revisión",Vuelta 129,6.716249108314514,"6.716249",finished
"Revisión",Vuelta 130,13.082647919654846,"13.082648",finished
"Revisión",Vuelta 131,6.932942986488342,"6.932943",finished
"Revisión",Vuelta 132,13.666035056114197,"13.666035",finished
"Revisión",Vuelta 133,8.016378998756409,"8.016379",finished
"Revisión",Vuelta 134,6.816159963607788,"6.81616",finished
"Revisión",Vuelta 135,16.949322938919067,"16.949323",finished
"Revisión",Vuelta 136,20.615805983543396,"20.615806",finished
"Revisión",Vuelta 137,7.616316080093384,"7.616316",finished
"Revisión",Vuelta 138,9.799409985542297,"9.79941",finished
"Revisión",Vuelta 139,11.449445962905884,"11.449446",finished
"Revisión",Vuelta 140,9.19946801662445,"9.199468",finished
"Revisión",Vuelta 141,10.23276698589325,"10.232767",finished
"Revisión",Vuelta 142,9.58288300037384,"9.582883",finished
"Revisión",Vuelta 143,9.049548029899597,"9.049548",finished
"Revisión",Vuelta 144,12.199582934379578,"12.199583",finished
"Revisión",Vuelta 145,9.166298031806946,"9.166298",finished
"Revisión",Vuelta 146,108.46152901649475,"108.461529",finished
"Revisión",Vuelta 147,12.049407005310059,"12.049407",finished
"Revisión",Vuelta 148,11.716113924980164,"11.716114",finished
